TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10312.0,2.0,2.0,6155.0,2820.0,1987.0,1,915000,2020-06-08
1,10312.0,2.0,2.0,4400.0,2488.0,2003.0,1,0,2021-01-07
1,10312.0,2.0,2.0,4000.0,2524.0,1975.0,1,0,2020-04-15
1,10312.0,2.0,2.0,6000.0,2500.0,1975.0,1,800000,2020-06-24
1,10312.0,2.0,2.0,5664.0,3076.0,1996.0,1,0,2020-12-21
1,10312.0,2.0,2.0,12918.0,4200.0,2000.0,1,1300000,2020-04-20
1,10312.0,2.0,2.0,15000.0,4420.0,1970.0,1,1100000,2020-11-06
1,10312.0,2.0,2.0,6806.0,2363.0,2016.0,1,1141265,2021-01-26
4,10312.0,0.0,1.0,6399.0,967.0,1931.0,4,400000,2020-12-04
1,10312.0,1.0,1.0,2500.0,1510.0,2014.0,1,630000,2020-08-21
1,10312.0,1.0,1.0,2500.0,1500.0,2019.0,1,666954,2020-06-11
1,10312.0,1.0,1.0,4000.0,2424.0,2007.0,1,880000,2020-11-23
1,10312.0,1.0,1.0,1944.0,1540.0,1995.0,1,499800,2020-11-25
1,10312.0,1.0,1.0,1135.0,1540.0,1995.0,1,0,2020-09-10
1,10312.0,1.0,1.0,2488.0,1656.0,2003.0,1,609000,2020-12-10
1,10312.0,1.0,1.0,1550.0,1350.0,2002.0,1,535000,2020-05-01
1,10312.0,1.0,1.0,1230.0,1540.0,1995.0,1,435000,2020-08-28
1,10312.0,1.0,1.0,1275.0,1540.0,1996.0,1,0,2020-07-13
1,10312.0,1.0,1.0,3078.0,1874.0,2007.0,1,670000,2020-09-16
1,10312.0,1.0,1.0,3123.0,1874.0,2007.0,1,715000,2020-11-13
1,10312.0,1.0,1.0,1972.0,1552.0,2012.0,1,620000,2020-07-06
1,10312.0,1.0,1.0,1972.0,1552.0,2012.0,1,0,2021-01-11
1,10312.0,1.0,1.0,2126.0,1552.0,2011.0,1,0,2020-08-28
1,10312.0,1.0,1.0,3465.0,1552.0,2011.0,1,700000,2021-01-06
1,10312.0,1.0,1.0,6673.0,1552.0,2011.0,1,680000,2020-12-31
1,10312.0,1.0,1.0,2167.0,1552.0,2011.0,1,610000,2020-08-07
1,10312.0,1.0,1.0,1973.0,1552.0,2011.0,1,615000,2021-02-03
1,10312.0,1.0,1.0,3439.0,1552.0,2011.0,1,670000,2020-08-11
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,380000,2020-06-09
1,10312.0,1.0,1.0,560.0,1553.0,1996.0,1,0,2020-10-21
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,359000,2020-09-25
1,10312.0,1.0,1.0,353.0,929.0,1996.0,1,255000,2020-09-15
1,10312.0,1.0,1.0,560.0,1510.0,1996.0,1,425000,2021-03-08
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,357200,2020-06-02
1,10312.0,1.0,1.0,500.0,1354.0,2000.0,1,360000,2020-05-21
1,10312.0,1.0,1.0,500.0,1354.0,2000.0,1,368250,2020-11-23
1,10312.0,1.0,1.0,500.0,1354.0,2000.0,1,355000,2021-02-16
1,10312.0,1.0,1.0,500.0,1354.0,2000.0,1,0,2021-02-10
1,10312.0,1.0,1.0,560.0,1510.0,2001.0,1,380000,2020-12-23
1,10312.0,1.0,1.0,500.0,1354.0,2001.0,1,355000,2020-06-16
1,10312.0,1.0,1.0,560.0,1510.0,2004.0,1,412500,2020-12-09
1,10312.0,1.0,1.0,500.0,1354.0,2004.0,1,350000,2021-01-11
1,10312.0,1.0,1.0,500.0,1354.0,2004.0,1,353000,2020-07-08
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,385000,2021-01-19
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,334000,2020-08-06
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,339500,2020-10-05
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,365000,2020-11-11
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,0,2020-11-17
1,10312.0,1.0,1.0,353.0,929.0,1996.0,1,252000,2020-07-07
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,360400,2020-10-08
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,370000,2020-06-25
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,365000,2021-02-25
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,320000,2020-11-06
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,395000,2020-10-09
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,365000,2020-11-05
1,10312.0,1.0,1.0,560.0,1553.0,1996.0,1,390000,2020-05-06
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,335000,2021-02-11
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,369200,2020-07-27
1,10312.0,1.0,1.0,560.0,1510.0,2000.0,1,0,2020-11-25
1,10312.0,1.0,1.0,560.0,1510.0,2000.0,1,430000,2020-12-28
1,10312.0,1.0,1.0,500.0,1354.0,2000.0,1,375000,2020-12-18
1,10312.0,1.0,1.0,500.0,1354.0,1999.0,1,372000,2021-02-17
1,10312.0,1.0,1.0,560.0,1510.0,1999.0,1,389000,2020-11-30
1,10312.0,1.0,1.0,500.0,1354.0,1999.0,1,350000,2020-05-19
1,10312.0,1.0,1.0,500.0,1354.0,1999.0,1,0,2021-01-08
1,10312.0,1.0,1.0,560.0,1510.0,1999.0,1,405000,2020-10-23
1,10312.0,1.0,1.0,560.0,1510.0,2000.0,1,415000,2020-11-10
1,10312.0,1.0,1.0,560.0,1510.0,1996.0,1,425000,2021-01-12
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,370000,2021-01-20
1,10312.0,1.0,1.0,560.0,1553.0,1996.0,1,0,2021-01-06
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,348500,2020-12-29
1,10312.0,1.0,1.0,560.0,1510.0,1996.0,1,275000,2020-07-01
1,10312.0,1.0,1.0,560.0,1510.0,1996.0,1,360000,2020-05-15
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,469649,2020-09-04
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,0,2020-12-17
1,10312.0,1.0,1.0,500.0,1354.0,1994.0,1,370000,2020-10-06
1,10312.0,1.0,1.0,353.0,929.0,1996.0,1,339999,2020-12-30
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,427000,2020-09-24
1,10312.0,1.0,1.0,500.0,1354.0,1999.0,1,425000,2020-09-25
1,10312.0,1.0,1.0,500.0,1354.0,1999.0,1,428000,2021-01-07
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,410000,2020-11-30
1,10312.0,1.0,1.0,353.0,929.0,1996.0,1,275000,2020-11-05
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,367000,2020-09-25
1,10312.0,1.0,1.0,500.0,1354.0,1996.0,1,0,2020-05-26
