TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,11221.0,3.0,3.0,2000.0,3300.0,1905.0,1,1200000,2020-09-08
1,11221.0,3.0,3.0,2676.0,3933.0,1910.0,1,0,2020-05-18
1,11221.0,3.0,3.0,1450.0,2997.0,1931.0,1,0,2021-01-29
1,11221.0,3.0,3.0,1825.0,2190.0,1910.0,1,650000,2020-09-11
1,11221.0,3.0,3.0,2050.0,2769.0,1910.0,1,0,2020-07-16
1,11221.0,3.0,3.0,1800.0,2430.0,1920.0,1,0,2020-12-23
1,11221.0,3.0,3.0,1875.0,2814.0,1901.0,1,0,2020-04-13
1,11221.0,3.0,3.0,2000.0,3300.0,1905.0,1,1300000,2021-03-31
1,11221.0,3.0,3.0,2000.0,3300.0,1905.0,1,990000,2020-05-12
1,11221.0,3.0,3.0,1917.0,2589.0,1910.0,1,5000,2020-09-25
1,11221.0,3.0,3.0,1917.0,2589.0,1910.0,1,15000,2020-11-04
1,11221.0,3.0,3.0,1917.0,2589.0,1910.0,1,500,2020-06-25
1,11221.0,3.0,3.0,1917.0,2589.0,1910.0,1,5000,2020-10-01
1,11221.0,3.0,3.0,1917.0,2589.0,1910.0,1,10000,2020-08-27
1,11221.0,3.0,3.0,1900.0,3600.0,1910.0,1,1300000,2020-11-25
1,11237.0,3.0,3.0,2000.0,3180.0,1901.0,1,998000,2021-02-11
1,11221.0,3.0,3.0,2000.0,3300.0,1905.0,1,1915000,2020-11-25
1,11221.0,3.0,3.0,2000.0,3000.0,1910.0,1,0,2020-11-25
1,11221.0,3.0,3.0,2000.0,3000.0,1910.0,1,0,2020-12-29
1,11221.0,3.0,3.0,2000.0,3000.0,1915.0,1,1893000,2021-03-25
1,11221.0,3.0,3.0,2000.0,3000.0,1899.0,1,0,2021-02-23
1,11221.0,3.0,3.0,2000.0,2700.0,1905.0,1,875000,2020-08-07
1,11221.0,3.0,3.0,2000.0,2700.0,1905.0,1,0,2020-07-08
1,11221.0,3.0,3.0,1875.0,3024.0,2008.0,1,0,2020-12-18
1,11221.0,3.0,3.0,1900.0,2565.0,1905.0,1,1050000,2020-10-02
1,11221.0,3.0,3.0,1875.0,3024.0,2008.0,1,0,2020-11-16
1,11221.0,3.0,3.0,1400.0,3000.0,1915.0,1,0,2021-02-12
1,11221.0,3.0,3.0,2000.0,3000.0,1920.0,1,1480000,2020-04-06
1,11221.0,3.0,3.0,2000.0,2700.0,1910.0,1,0,2020-11-02
1,11221.0,3.0,3.0,2000.0,2700.0,1910.0,1,0,2020-09-24
1,11221.0,3.0,3.0,2000.0,2700.0,1910.0,1,0,2020-05-15
1,11221.0,3.0,3.0,2000.0,2700.0,1910.0,1,1900000,2020-10-23
1,11221.0,3.0,3.0,1613.0,3004.0,1910.0,1,0,2020-07-30
1,11221.0,3.0,3.0,2000.0,2700.0,1910.0,1,1300000,2020-06-05
