TAX CLASS AT PRESENT,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
2,10011,1938.0,942000,2020-07-01
2,10011,1938.0,935000,2020-06-29
2,10011,1950.0,483750,2020-05-01
2,10011,1910.0,1100000,2020-12-07
2,10011,1910.0,1560000,2021-03-24
2C,10011,1898.0,0,2021-03-10
2,10001,1905.0,1515000,2020-06-26
2,10001,1905.0,1300000,2020-05-14
2C,10001,1912.0,1565000,2021-02-25
2C,10001,1912.0,0,2020-04-20
2,10001,1911.0,3800000,2020-12-17
2,10001,1910.0,1150000,2021-01-14
2,10001,1907.0,1965000,2020-12-09
2,10001,1910.0,0,2020-05-13
2,10011,1920.0,3755506,2020-10-28
2,10001,2015.0,3100000,2021-03-31
2,10001,2015.0,4200000,2020-10-30
2,10001,2015.0,1420000,2020-09-16
2,10001,2015.0,3500000,2021-03-26
2,10001,2015.0,3725500,2021-02-22
2,10011,1930.0,1650000,2020-11-24
2,10011,1930.0,0,2020-08-06
2,10011,2007.0,10,2020-12-28
2,10011,2007.0,0,2020-10-07
2,10011,2018.0,1375000,2021-03-31
2,10011,2018.0,2775000,2021-03-18
2,10011,2018.0,1800000,2021-03-29
2,10011,2018.0,3037000,2021-03-19
2,10011,2018.0,4775000,2021-03-29
2,10011,2007.0,0,2020-12-24
2,10011,2007.0,4950000,2020-04-06
2,10011,2013.0,6350000,2020-11-05
2,10011,2013.0,0,2020-08-06
2,10011,2005.0,1970000,2021-01-29
2,10011,2005.0,880000,2021-03-19
2,10011,2005.0,855000,2020-09-29
2,10011,2005.0,651000,2020-06-05
2,10011,2005.0,690000,2020-12-23
2,10011,2005.0,990000,2020-10-28
2,10011,2005.0,0,2020-10-02
2,10011,2005.0,675000,2021-02-03
2,10011,2005.0,0,2020-05-15
2,10011,2005.0,10,2020-12-21
2,10011,2005.0,999000,2020-07-08
2,10011,2005.0,0,2020-05-21
2,10011,2005.0,1600000,2021-01-07
2,10011,2005.0,5200000,2021-02-18
2,10011,2005.0,1687500,2020-08-27
2,10011,2013.0,0,2020-10-19
2,10011,2013.0,0,2020-05-19
2,10011,2013.0,5450000,2020-12-30
2,10011,2016.0,4676234,2020-12-14
2,10011,2016.0,4500000,2021-02-19
2,10011,2016.0,4500000,2020-12-21
2,10001,2007.0,0,2021-01-29
2,10001,2009.0,610000,2020-10-22
2,10001,2009.0,1850000,2020-10-02
2,10001,2009.0,2800000,2020-12-14
2,10001,2014.0,4173000,2020-05-13
2,10001,2014.0,3600000,2020-10-19
2,10001,2014.0,6700000,2020-06-01
2,10001,2014.0,3928750,2020-07-08
2,10001,2014.0,0,2020-09-17
2,10001,2014.0,6850000,2020-06-12
2,10001,2014.0,8000000,2020-08-20
2,10001,2014.0,20207500,2020-09-18
2,10001,2016.0,2850000,2021-03-12
2,10001,2016.0,3200000,2021-03-12
2,10001,2016.0,2975000,2021-03-31
2,10001,1928.0,4061681,2020-07-21
2,10001,1928.0,4188137,2020-10-15
2,10001,1928.0,4189575,2020-07-23
2,10001,1928.0,4174825,2020-07-14
2,10001,1928.0,4188075,2020-08-13
2,10011,2006.0,2425000,2021-01-20
2,10011,2006.0,0,2020-06-22
2,10011,2006.0,1625000,2020-06-19
2,10011,2006.0,1995000,2020-12-31
2,10011,2006.0,0,2020-11-23
2,10011,2006.0,0,2020-09-30
2,10011,2006.0,1600000,2020-11-06
2,10011,2006.0,800000,2021-03-19
2,10011,2006.0,3150000,2021-03-17
2,10011,2006.0,2800000,2020-06-25
2,10011,2006.0,2299000,2020-11-13
2,10011,2006.0,2675000,2021-03-19
2,10011,2006.0,2850000,2020-11-20
2,10011,1920.0,1925000,2020-04-28
2,10011,2007.0,2268750,2020-06-04
2,10011,1989.0,2200000,2021-02-22
2,10011,1989.0,0,2020-11-17
2,10011,1989.0,745000,2020-07-31
2,10011,1989.0,710000,2020-05-28
2,10011,1900.0,3674700,2021-03-03
2,10011,1900.0,3092873,2021-03-03
2,10011,1900.0,3680825,2021-02-24
2,10011,1900.0,7349400,2021-03-03
2,10011,1984.0,760000,2021-02-19
2,10011,1920.0,0,2020-11-24
2,10011,1950.0,650000,2021-01-22
2,10011,1920.0,1225000,2021-03-02
2,10011,1948.0,0,2020-04-28
2,10011,1948.0,610000,2021-02-05
2,10011,1948.0,0,2020-07-14
2,10001,2002.0,515000,2021-03-11
2,10011,1985.0,1,2020-12-10
2,10011,1985.0,2500000,2021-02-03
2,10011,1989.0,650000,2021-02-09
2,10011,1989.0,1280000,2020-12-18
2,10011,1926.0,2650000,2020-10-28
2,10011,1926.0,10,2020-10-01
2,10011,1926.0,0,2020-12-11
2,10011,1926.0,0,2020-12-15
2,10011,1929.0,0,2020-12-31
2,10011,1929.0,21000000,2021-02-17
2,10011,1929.0,18250000,2020-08-19
2,10011,1912.0,6000000,2020-06-16
2,10011,1939.0,999000,2021-03-04
2,10011,1939.0,0,2020-10-06
2,10011,1939.0,930000,2020-04-29
2,10001,2014.0,0,2020-04-06
2,10001,2014.0,1220000,2020-04-20
2,10001,2014.0,1405000,2020-09-09
2,10011,1920.0,0,2021-02-15
2,10011,1920.0,0,2021-02-08
2,10011,1920.0,0,2021-02-15
2,10011,1920.0,0,2021-02-08
2,10011,1920.0,0,2021-02-15
2,10011,1920.0,0,2021-02-08
2,10011,1920.0,0,2021-01-05
2,10011,1920.0,3200000,2020-12-23
2,10011,1920.0,11390000,2021-01-28
2,10011,1920.0,6996701,2020-10-13
2,10011,1920.0,0,2021-03-01
2,10011,1918.0,1050000,2021-03-03
2,10011,1910.0,2750000,2020-11-09
2,10011,1899.0,0,2020-12-23
2,10011,2006.0,1525000,2020-10-30
2,10011,2006.0,0,2020-10-15
2,10011,2006.0,2270000,2020-04-30
2,10011,2006.0,2562500,2020-10-07
2,10011,2006.0,0,2020-12-31
2,10011,2006.0,1950000,2020-09-23
2,10011,2006.0,5000000,2020-04-30
2,10011,2005.0,1787000,2021-03-12
2,10011,2005.0,0,2021-02-04
2,10011,2005.0,0,2020-10-23
2,10011,2005.0,1650000,2021-01-14
2,10011,2005.0,0,2020-12-23
2,10011,2006.0,2707000,2021-02-25
2,10011,2006.0,0,2020-07-01
2,10011,2014.0,2340000,2020-10-16
2,10011,2008.0,0,2020-10-07
2,10011,1987.0,635000,2021-03-04
