TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
2,10011,705000,2020-04-16
2,10011,4000000,2020-04-01
2,10001,1800000,2021-02-11
2,10001,1810000,2020-05-28
2,10001,270362,2020-08-31
2,10001,1730000,2020-04-20
2,10001,2725000,2020-10-26
2,10001,1220000,2020-04-20
2,10001,1405000,2020-09-09
2,10011,3200000,2020-12-23
2,10011,11390000,2021-01-28
2,10011,6996701,2020-10-13
2,10011,1050000,2021-03-03
2,10011,2750000,2020-11-09
2,10011,2350000,2021-01-29
2,10011,3600000,2021-03-31
2,10011,3662500,2020-04-17
2,10011,2800000,2020-11-24
2,10011,1525000,2020-10-30
2,10011,2270000,2020-04-30
2,10011,2562500,2020-10-07
2,10011,1950000,2020-09-23
2,10011,5000000,2020-04-30
2,10011,1787000,2021-03-12
2,10011,1650000,2021-01-14
2,10011,2707000,2021-02-25
2,10011,2340000,2020-10-16
2,10011,2475000,2020-10-27
2,10011,982782,2020-10-19
2,10011,1175000,2020-10-21
2,10011,1900000,2021-03-18
2,10011,1810000,2020-09-23
2,10011,1995000,2020-10-15
2,10011,635000,2021-03-04
2,10011,600000,2020-07-17
2,10011,658000,2021-02-24
2,10011,1999999,2021-01-15
2,10010,1580000,2020-06-23
2,10010,2290000,2020-06-10
2,10010,1585000,2021-01-29
2,10011,623000,2021-03-16
2,10011,890000,2020-10-12
2,10011,505000,2021-03-03
2,10011,1825000,2020-10-29
2,10011,1925000,2020-05-29
2,10011,1172000,2020-10-09
2,10011,2300000,2020-09-10
2,10011,4500000,2020-12-23
2,10011,1220000,2021-02-09
2,10001,3900000,2020-09-03
2,10011,2070000,2020-06-22
2,10011,1990000,2020-10-20
2,10011,1995000,2021-02-18
2,10011,2950000,2020-10-13
2,10011,1450000,2020-05-14
2,10011,2200000,2020-10-02
2,10011,2675000,2020-05-07
2,10011,1452500,2020-05-21
2,10011,2600000,2021-02-22
2,10011,2015000,2020-10-23
2,10011,1750000,2020-06-09
2,10001,2265000,2020-11-10
2,10001,2575000,2020-05-18
2,10001,2300000,2021-01-08
2,10001,1022000,2021-03-23
2,10001,707000,2021-03-25
2,10001,1773000,2020-04-24
2A,10001,6550000,2020-09-29
2C,10011,6140000,2021-02-26
2C,10011,3850000,2020-10-01
2C,10011,840000,2020-11-13
2C,10001,1995000,2021-02-19
